time,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
2025-10-31 23:30:00+00:00,5.9,0,2.3,9.4,13.6,0,0.0,0.0,68.6
2025-11-01 00:00:00+00:00,6.0,0,2.2,9.2,13.3,0,0.0,0.0,69.2
2025-11-01 00:30:00+00:00,5.8,0,2.5,9.1,13.1,0,0.0,0.0,69.5
2025-11-01 01:00:00+00:00,5.6,0,2.5,8.9,12.8,0,0.0,0.0,70.1
2025-11-01 01:30:00+00:00,5.5,0,2.3,8.9,12.9,0,0.0,0.0,70.5
2025-11-01 02:00:00+00:00,4.9,0,2.3,9.0,13.1,0,0.0,0.0,70.6
2025-11-01 02:30:00+00:00,4.5,0,2.1,9.1,13.2,0,0.0,0.0,71.0
2025-11-01 03:00:00+00:00,4.5,0,2.1,9.1,13.1,0,0.0,0.7,70.4
2025-11-01 03:30:00+00:00,4.7,0,1.2,9.5,13.6,0,0.0,0.0,71.0
2025-11-01 04:00:00+00:00,4.8,0,1.2,9.9,14.1,0,0.0,0.1,69.9
2025-11-01 04:30:00+00:00,4.8,0,1.3,9.6,14.1,0,0.0,0.0,70.1
2025-11-01 05:00:00+00:00,4.8,0,1.4,9.7,14.1,0,0.0,0.1,69.8
2025-11-01 05:30:00+00:00,4.8,0,4.5,9.6,14.0,0,0.0,0.0,67.1
2025-11-01 06:00:00+00:00,4.7,0,4.6,9.6,13.7,0,0.0,0.1,67.3
2025-11-01 06:30:00+00:00,4.5,0,5.2,10.3,13.2,0,0.0,0.0,66.8
2025-11-01 07:00:00+00:00,4.5,0,5.2,10.6,13.1,0,0.0,0.0,66.5
2025-11-01 07:30:00+00:00,3.5,0,8.3,9.4,12.8,0,0.0,1.3,64.7
2025-11-01 08:00:00+00:00,3.3,0,9.1,7.2,12.6,0,0.0,4.1,63.7
2025-11-01 08:30:00+00:00,3.3,0,7.1,5.1,12.6,0,0.0,7.1,64.6
2025-11-01 09:00:00+00:00,3.6,0,6.7,5.0,12.2,0,0.0,10.0,62.6
2025-11-01 09:30:00+00:00,4.0,0,1.9,6.3,11.8,0,0.0,12.3,63.7
2025-11-01 10:00:00+00:00,4.0,0,1.7,5.6,11.6,0,0.0,14.9,62.1
2025-11-01 10:30:00+00:00,4.0,0,0.4,6.0,11.5,0,0.0,16.6,61.5
2025-11-01 11:00:00+00:00,3.9,0,0.4,6.7,11.3,0,0.0,17.5,60.2
2025-11-01 11:30:00+00:00,3.8,0,1.4,7.0,11.1,0,0.0,17.6,59.0
2025-11-01 12:00:00+00:00,3.8,0,1.5,8.0,11.0,0,0.0,17.2,58.5
2025-11-01 12:30:00+00:00,3.7,0,2.5,9.3,10.9,0,0.0,15.5,58.1
2025-11-01 13:00:00+00:00,3.8,0,2.8,10.2,11.1,0,0.0,14.5,57.6
2025-11-01 13:30:00+00:00,3.9,0,4.7,10.7,11.3,0,0.0,12.0,57.4
2025-11-01 14:00:00+00:00,4.0,0,6.1,11.7,11.7,0,0.0,9.2,57.2
2025-11-01 14:30:00+00:00,4.4,0,10.4,12.7,12.1,0,0.0,6.3,54.1
2025-11-01 15:00:00+00:00,5.2,0,11.1,15.7,12.4,0,0.0,3.6,52.0
2025-11-01 15:30:00+00:00,6.0,0,14.1,17.1,12.2,0,0.0,1.7,48.9
2025-11-01 16:00:00+00:00,6.3,0,14.6,18.5,12.4,0,0.0,0.4,47.7
2025-11-01 16:30:00+00:00,6.4,0,15.9,19.7,12.4,0,0.0,0.4,45.2
2025-11-01 17:00:00+00:00,6.4,0,16.0,20.7,12.5,0,0.0,0.4,43.9
2025-11-01 17:30:00+00:00,6.4,0,15.9,21.0,12.5,0,0.0,0.0,44.2
2025-11-01 18:00:00+00:00,6.3,0,15.7,20.0,12.4,0,0.0,0.4,45.2
2025-11-01 18:30:00+00:00,6.3,0,15.8,18.7,12.4,0,0.0,0.0,46.9
2025-11-01 19:00:00+00:00,6.3,0,15.8,17.2,12.4,0,0.0,0.0,48.2
2025-11-01 19:30:00+00:00,6.4,0,15.1,16.1,12.6,0,0.0,0.0,49.9
2025-11-01 20:00:00+00:00,6.7,0,14.5,14.8,12.6,0,0.0,0.4,51.0
2025-11-01 20:30:00+00:00,8.0,0,10.8,16.3,13.3,0,0.0,0.0,51.6
2025-11-01 21:00:00+00:00,8.7,0,10.7,15.3,13.5,0,0.0,0.4,51.3
2025-11-01 21:30:00+00:00,9.1,0,9.6,15.4,14.1,0,0.0,0.0,51.9
2025-11-01 22:00:00+00:00,9.3,0,9.3,14.4,14.0,0,0.0,0.4,52.6
2025-11-01 22:30:00+00:00,9.4,0,9.2,12.5,13.8,0,0.0,0.0,55.0
2025-11-01 23:00:00+00:00,9.5,0,9.2,11.5,13.9,0,0.0,0.4,55.4
2025-11-01 23:30:00+00:00,9.8,0,9.2,10.9,14.4,0,0.0,0.0,55.5
2025-11-02 00:00:00+00:00,9.7,0,9.0,10.5,14.5,0,0.0,0.0,56.3
2025-11-02 00:30:00+00:00,9.8,0,8.7,10.8,15.1,0,0.1,0.0,55.5
2025-11-02 01:00:00+00:00,10.1,0,8.9,11.4,15.3,0,0.1,0.0,54.2
2025-11-02 01:30:00+00:00,10.2,0,9.7,11.6,15.5,0,0.0,0.0,53.0
2025-11-02 02:00:00+00:00,10.5,0,10.1,11.7,15.9,0,0.1,0.0,51.7
2025-11-02 02:30:00+00:00,10.8,0,10.2,12.1,16.3,0,0.1,0.0,50.6
2025-11-02 03:00:00+00:00,10.9,0,10.2,12.3,16.4,0,0.1,0.5,49.7
2025-11-02 03:30:00+00:00,10.8,0,9.1,12.4,16.7,0,0.1,0.0,50.9
2025-11-02 04:00:00+00:00,10.8,0,9.0,12.4,16.9,0,0.0,0.5,50.4
2025-11-02 04:30:00+00:00,10.8,0,9.0,12.4,17.1,0,0.0,0.0,50.7
2025-11-02 05:00:00+00:00,11.1,0,6.4,13.3,16.6,0,0.0,0.0,52.5
2025-11-02 05:30:00+00:00,10.2,0,7.1,14.0,16.8,0,0.0,0.0,51.9
2025-11-02 06:00:00+00:00,9.7,0,7.5,13.5,16.9,0,0.0,0.0,52.3
2025-11-02 06:30:00+00:00,10.1,0,7.6,14.6,16.5,0,0.0,0.0,51.1
2025-11-02 07:00:00+00:00,10.1,0,8.0,13.9,16.7,0,0.0,0.0,51.3
2025-11-02 07:30:00+00:00,9.0,0,10.4,15.0,14.5,0,0.0,1.2,49.8
2025-11-02 08:00:00+00:00,8.8,0,9.9,15.8,13.8,0,0.0,4.2,47.4
2025-11-02 08:30:00+00:00,8.5,0,8.5,14.7,13.3,0,0.0,8.3,46.6
2025-11-02 09:00:00+00:00,8.1,0,8.1,13.6,12.6,0,0.0,12.5,45.2
2025-11-02 09:30:00+00:00,7.7,0,7.8,11.8,11.9,0,0.0,16.4,44.4
2025-11-02 10:00:00+00:00,7.6,0,7.5,12.0,11.5,0,0.0,18.5,42.8
2025-11-02 10:30:00+00:00,7.4,0,6.7,12.0,11.2,0,0.0,20.4,42.2
2025-11-02 11:00:00+00:00,7.1,0,6.6,11.8,11.0,0,0.0,21.2,42.3
2025-11-02 11:30:00+00:00,7.0,0,7.8,11.9,10.8,0,0.0,20.4,42.2
2025-11-02 12:00:00+00:00,7.1,0,7.9,12.6,10.8,0,0.0,19.5,42.0
2025-11-02 12:30:00+00:00,7.4,0,6.7,14.1,10.9,0,0.0,18.5,42.4
2025-11-02 13:00:00+00:00,8.0,0,6.9,15.0,10.9,0,0.0,17.0,42.2
2025-11-02 13:30:00+00:00,7.7,0,9.1,15.6,10.9,0,0.0,14.7,42.1
2025-11-02 14:00:00+00:00,7.7,0,9.5,17.1,11.1,0,0.0,12.3,42.4
2025-11-02 14:30:00+00:00,7.8,0,11.1,18.6,11.1,0,0.0,9.4,41.8
2025-11-02 15:00:00+00:00,9.1,0,11.1,21.6,11.0,0,0.0,6.1,41.1
2025-11-02 15:30:00+00:00,9.3,0,11.6,24.8,11.2,0,0.0,2.8,40.3
2025-11-02 16:00:00+00:00,9.2,0,11.5,26.7,11.1,0,0.0,0.5,41.0
2025-11-02 16:30:00+00:00,8.9,0,13.3,25.7,10.7,0,0.0,0.5,40.9
2025-11-02 17:00:00+00:00,8.9,0,13.3,25.2,10.7,0,0.0,0.5,41.5
2025-11-02 17:30:00+00:00,9.0,0,12.5,25.0,10.8,0,0.0,0.0,42.7
2025-11-02 18:00:00+00:00,9.1,0,12.4,24.0,10.9,0,0.0,0.5,43.1
2025-11-02 18:30:00+00:00,9.3,0,10.2,24.6,11.1,0,0.0,0.0,44.8
2025-11-02 19:00:00+00:00,9.6,0,10.4,21.5,11.4,0,0.0,0.1,47.0
2025-11-02 19:30:00+00:00,10.0,0,11.4,18.0,11.9,0,0.0,0.0,48.6
2025-11-02 20:00:00+00:00,10.3,0,11.6,15.4,12.4,0,0.0,0.5,49.7
2025-11-02 20:30:00+00:00,10.3,0,8.4,14.7,12.5,0,0.0,0.0,54.1
2025-11-02 21:00:00+00:00,9.9,0,8.4,13.2,12.9,0,0.0,0.0,55.6
2025-11-02 21:30:00+00:00,10.1,0,6.9,12.2,13.2,0,0.0,0.0,57.5
2025-11-02 22:00:00+00:00,9.0,0,6.5,11.0,13.7,0,0.0,0.6,59.2
2025-11-02 22:30:00+00:00,7.5,0,6.0,11.3,14.1,0,0.0,0.0,61.1
2025-11-02 23:00:00+00:00,6.6,0,6.7,11.3,13.8,0,0.0,0.6,61.0
2025-11-02 23:30:00+00:00,6.1,0,6.7,11.8,13.9,0,0.0,0.0,61.5
2025-11-03 00:00:00+00:00,6.2,0,5.8,11.2,13.7,0,0.0,0.0,63.1
2025-11-03 00:30:00+00:00,6.5,0,5.8,11.1,13.5,0,0.0,0.0,63.0
2025-11-03 01:00:00+00:00,6.4,0,5.7,11.0,13.5,0,0.0,0.0,63.3
2025-11-03 01:30:00+00:00,6.5,0,4.5,11.0,13.5,0,0.0,0.0,64.4
2025-11-03 02:00:00+00:00,6.9,0,3.9,10.9,13.4,0,0.0,0.6,64.3
2025-11-03 02:30:00+00:00,6.9,0,2.7,10.9,13.5,0,0.0,0.0,65.8
2025-11-03 03:00:00+00:00,6.8,0,2.2,10.5,13.3,0,0.0,0.0,67.2
2025-11-03 03:30:00+00:00,6.8,0,1.5,10.5,13.2,0,0.0,0.0,68.1
2025-11-03 04:00:00+00:00,6.7,0,1.1,10.4,13.1,0,0.0,0.0,68.5
2025-11-03 04:30:00+00:00,6.7,0,0.8,10.4,13.1,0,0.0,0.0,69.0
2025-11-03 05:00:00+00:00,6.7,0,0.8,10.7,12.9,0,0.0,0.0,68.8
2025-11-03 05:30:00+00:00,6.3,0,3.2,12.2,12.4,0,0.0,0.0,65.8
2025-11-03 06:00:00+00:00,5.6,0,3.7,14.0,12.0,0,0.0,0.0,64.6
2025-11-03 06:30:00+00:00,5.0,0,3.3,15.1,11.8,0,0.0,0.0,64.7
2025-11-03 07:00:00+00:00,5.5,0,3.0,15.4,11.7,0,0.0,0.0,64.4
2025-11-03 07:30:00+00:00,5.4,0,5.8,14.3,11.3,0,0.0,0.3,62.8
2025-11-03 08:00:00+00:00,5.5,0,6.3,12.6,11.4,0,0.0,1.2,62.9
2025-11-03 08:30:00+00:00,5.2,0,9.0,12.2,11.0,0,0.0,2.2,60.4
2025-11-03 09:00:00+00:00,5.4,0,9.1,11.7,10.9,0,0.0,3.4,59.5
2025-11-03 09:30:00+00:00,5.3,0,9.6,10.7,10.9,0,0.0,4.7,58.8
2025-11-03 10:00:00+00:00,5.2,0,9.4,11.5,10.6,0,0.0,5.4,57.7
2025-11-03 10:30:00+00:00,5.2,0,9.5,11.3,10.6,0,0.0,6.3,57.1
2025-11-03 11:00:00+00:00,5.2,0,9.6,10.7,10.6,0,0.0,6.9,57.0
2025-11-03 11:30:00+00:00,5.2,0,9.1,11.1,10.5,0,0.0,7.1,56.9
2025-11-03 12:00:00+00:00,5.4,0,7.6,11.3,10.7,0,0.0,6.8,58.2
2025-11-03 12:30:00+00:00,5.5,0,7.3,12.6,10.7,0,0.0,6.0,58.0
2025-11-03 13:00:00+00:00,5.5,0,7.4,12.4,10.8,0,0.0,5.3,58.6
2025-11-03 13:30:00+00:00,5.5,0,7.7,12.5,10.9,0,0.0,4.2,59.1
2025-11-03 14:00:00+00:00,5.4,0,8.1,13.4,10.9,0,0.0,3.3,58.8
2025-11-03 14:30:00+00:00,5.6,0,7.2,13.5,11.2,0,0.0,2.6,59.9
2025-11-03 15:00:00+00:00,5.4,0,8.0,13.0,10.6,0,0.0,6.0,57.0
2025-11-03 15:30:00+00:00,5.4,0,8.1,13.4,10.4,0,0.0,5.9,56.7
2025-11-03 16:00:00+00:00,5.3,0,8.0,16.2,10.3,0,0.0,4.2,56.0
